"IMEI Traceur","Date:","Lat:","Long:","Vitesse:","Signal:","Orient:","Etat:","Distance:","Odometer(KM)","Addresse:",
"MITSUBISHI 5241FL01","2012-02-28 00:00:08","9.512173","-7.55612","0.111","1","247.98","Position GPS<!--243289-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 00:05:11","9.512163","-7.556095","0.0555","1","179.67","Position GPS<!--243288-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 00:10:11","9.512147","-7.556078","0.185","1","111.37","Position GPS<!--243291-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 00:15:13","9.512143","-7.556095","0.148","1","203.55","Position GPS<!--243290-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 00:20:13","9.512173","-7.556113","0.518","1","242.19","Position GPS<!--243292-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 00:25:12","9.512132","-7.556087","0.3515","1","135.44","Position GPS<!--243293-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 00:30:12","9.51209","-7.556053","0.074","1","126.06","Position GPS<!--243294-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 00:35:12","9.512117","-7.556108","0.4995","1","239.3","Position GPS<!--243295-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 00:40:11","9.512117","-7.556113","0.2035","1","84.45","Position GPS<!--243296-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 00:45:11","9.512132","-7.556073","0.074","1","185.64","Position GPS<!--243297-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 00:50:11","9.512123","-7.556102","0.0925","1","190.23","Position GPS<!--243299-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 00:55:13","9.51219","-7.55604","0.0555","1","358.77","Position GPS<!--243298-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 01:00:13","9.512145","-7.556083","0.2035","1","76.31","Position GPS<!--243300-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 01:05:13","9.512153","-7.556025","0.0925","1","173.98","Position GPS<!--243301-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 01:10:13","9.512138","-7.556103","0.0555","1","115.21","Position GPS<!--243302-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 01:15:12","9.512137","-7.556077","0.222","1","210.34","Position GPS<!--243303-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 01:20:12","9.512123","-7.556085","0.0555","1","132.93","Position GPS<!--243304-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 01:25:12","9.512108","-7.556047","0.1295","1","102.55","Position GPS<!--243305-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 01:30:11","9.512152","-7.556087","0.0185","1","74.46","Position GPS<!--243306-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 01:32:43","9.512152","-7.556092","0.0925","1","119.32","Position GPS<!--243307-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 01:37:42","9.512138","-7.55611","0.148","1","200.35","Position GPS<!--243308-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 01:42:42","9.512122","-7.556118","0.1665","1","130.52","Position GPS<!--243309-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 01:47:42","9.512117","-7.556108","0.111","1","157.11","Position GPS<!--243310-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 01:52:41","9.51213","-7.55614","0.1295","1","245.16","Position GPS<!--243311-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 01:57:41","9.512097","-7.556122","0.111","1","225.11","Position GPS<!--243312-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 02:02:41","9.512147","-7.556165","0.148","1","200.37","Position GPS<!--243313-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 02:07:40","9.512167","-7.556097","0.1665","1","241.99","Position GPS<!--243314-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 02:12:40","9.512137","-7.556138","0.148","1","239.77","Position GPS<!--243315-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 02:17:40","9.512123","-7.556112","0.259","1","247.89","Position GPS<!--243316-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 02:22:40","9.512103","-7.556217","0.185","1","240.74","Position GPS<!--243317-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 02:27:39","9.512085","-7.556197","0.074","1","220.1","Position GPS<!--243318-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 02:32:39","9.512113","-7.55617","0.037","1","82.53","Position GPS<!--243319-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 02:37:39","9.512143","-7.556165","0.259","1","230","Position GPS<!--243320-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 02:42:38","9.512107","-7.556138","0.2035","1","228.68","Position GPS<!--243321-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 02:47:38","9.512117","-7.556155","0.259","1","238.1","Position GPS<!--243322-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 02:52:38","9.512115","-7.556157","0.222","1","232.73","Position GPS<!--243323-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 02:57:38","9.5121","-7.55617","0.37","1","237.22","Position GPS<!--243324-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 03:02:37","9.512092","-7.556192","0.074","1","209.98","Position GPS<!--243325-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 03:07:37","9.512165","-7.556122","0.148","1","222.36","Position GPS<!--243326-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 03:12:37","9.51213","-7.556128","0.1665","1","213.99","Position GPS<!--243327-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 03:17:37","9.512122","-7.556117","0.148","1","165.68","Position GPS<!--243329-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 03:22:40","9.512117","-7.556123","0.222","1","208.48","Position GPS<!--243328-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 03:27:40","9.512122","-7.55611","0.259","1","86.95","Position GPS<!--243330-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 03:32:39","9.512105","-7.556125","0.1295","1","156.12","Position GPS<!--243331-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 03:37:39","9.51212","-7.556095","0.1665","1","130.04","Position GPS<!--243332-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 03:42:39","9.512113","-7.556122","0.148","1","137.77","Position GPS<!--243333-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 03:47:39","9.512145","-7.556085","0.185","1","96.71","Position GPS<!--243334-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 03:52:38","9.512138","-7.55608","0.185","1","130.59","Position GPS<!--243335-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 03:57:38","9.512117","-7.556125","0.148","1","144.43","Position GPS<!--243336-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 04:02:38","9.51211","-7.55613","0.148","1","141.59","Position GPS<!--243337-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 04:07:38","9.512133","-7.5561","0.222","1","112.94","Position GPS<!--243338-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 04:12:37","9.512138","-7.556093","0.1665","1","132.09","Position GPS<!--243339-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 04:17:37","9.512135","-7.556103","0.296","1","103.93","Position GPS<!--243340-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 04:22:37","9.512148","-7.556085","0.2035","1","110.93","Position GPS<!--243341-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 04:27:44","9.512148","-7.556152","0.185","1","116.19","Position GPS<!--243342-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 04:32:44","9.51212","-7.556047","0.259","1","108.16","Position GPS<!--243343-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 04:37:44","9.512142","-7.556088","0.222","1","122.8","Position GPS<!--243344-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 04:42:44","9.512135","-7.556077","0.2035","1","116.18","Position GPS<!--243345-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 04:47:43","9.512107","-7.55606","0.111","1","118.57","Position GPS<!--243346-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 04:52:43","9.512102","-7.556125","0.259","1","125.83","Position GPS<!--243347-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 04:57:43","9.512112","-7.556072","0.148","1","46.89","Position GPS<!--243348-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 05:02:43","9.512127","-7.556072","0.1295","1","53.74","Position GPS<!--243349-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 05:07:42","9.512173","-7.556128","0.2035","1","277.03","Position GPS<!--243350-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 05:12:42","9.512115","-7.556115","0.1665","1","95.54","Position GPS<!--243351-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 05:17:42","9.512112","-7.556195","0.222","1","87.99","Position GPS<!--243352-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 05:22:42","9.512115","-7.556095","0.2035","1","99.19","Position GPS<!--243353-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 05:27:41","9.512112","-7.556123","0.074","1","123.82","Position GPS<!--243354-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 05:32:42","9.512127","-7.556173","0.0925","1","267.8","Position GPS<!--243356-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 05:37:45","9.51212","-7.556088","0.0925","1","130.91","Position GPS<!--243355-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 05:42:45","9.512145","-7.556093","0.0925","1","127.11","Position GPS<!--243357-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 05:47:45","9.512143","-7.556132","0.2405","1","108.55","Position GPS<!--243358-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 05:52:44","9.512138","-7.556137","0.0925","1","133.38","Position GPS<!--243359-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 05:57:44","9.512137","-7.556123","0.1665","1","139.69","Position GPS<!--243360-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 06:02:44","9.512117","-7.556118","0.1295","1","160.65","Position GPS<!--243361-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 06:07:44","9.512128","-7.55611","0.1295","1","170.35","Position GPS<!--243362-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 06:12:43","9.512132","-7.556127","0.111","1","166.48","Position GPS<!--243363-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 06:17:43","9.51213","-7.556125","0.1295","1","165.12","Position GPS<!--243364-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 06:22:43","9.512117","-7.556112","0.1295","1","157","Position GPS<!--243365-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 06:27:43","9.51214","-7.556112","0.148","1","145.84","Position GPS<!--243366-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 06:32:42","9.512137","-7.556112","0.1295","1","143.87","Position GPS<!--243367-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 06:37:42","9.51213","-7.556107","0.1665","1","152.96","Position GPS<!--243368-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 06:41:02","9.51214","-7.556122","0.148","1","145.59","Position GPS<!--243369-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 06:46:02","9.512132","-7.55614","0.1295","1","139.76","Position GPS<!--243370-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 06:51:02","9.512135","-7.556108","0.1295","1","163.73","Position GPS<!--243371-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 06:56:02","9.512135","-7.556113","0.1295","1","133.76","Position GPS<!--243372-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 07:01:01","9.51211","-7.556102","0.0925","1","131.73","Position GPS<!--243373-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 07:06:01","9.512122","-7.556122","0.111","1","134.78","Position GPS<!--243374-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 07:11:01","9.51214","-7.556103","0.148","1","100.07","Position GPS<!--243375-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 07:16:00","9.512143","-7.556118","0.1665","1","94.65","Position GPS<!--243376-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 07:21:00","9.512153","-7.556093","0.148","1","94.85","Position GPS<!--243377-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 07:26:00","9.512165","-7.556063","0.148","1","88.79","Position GPS<!--243378-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 07:31:00","9.512127","-7.55612","0.074","1","115.97","Position GPS<!--243379-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 07:36:00","9.512117","-7.556145","0.1295","1","116.45","Position GPS<!--243380-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 07:41:00","9.512128","-7.556112","0.1665","1","82.78","Position GPS<!--243381-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 07:46:00","9.512112","-7.556143","0.0925","1","224.85","Position GPS<!--243383-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 07:51:02","9.512037","-7.556188","6.5675","1","215.54","Position GPS<!--243382-->","0.00","8,885.50","",
"MITSUBISHI 5241FL01","2012-02-28 07:51:16","9.51194","-7.556485","12.4135","1","196.99","Position GPS<!--243384-->","0.03","8,885.60","",
"MITSUBISHI 5241FL01","2012-02-28 07:51:30","9.511257","-7.556487","27.158","1","146.05","Position GPS<!--243385-->","0.03","8,885.60","",
"MITSUBISHI 5241FL01","2012-02-28 07:51:44","9.510407","-7.555712","34.151","1","132.22","Position GPS<!--243386-->","0.16","8,885.80","",
"MITSUBISHI 5241FL01","2012-02-28 07:51:58","9.509655","-7.554983","21.423","1","156.94","Position GPS<!--243387-->","0.28","8,885.90","",
"MITSUBISHI 5241FL01","2012-02-28 07:52:12","9.508843","-7.554858","12.506","1","180.21","Position GPS<!--243388-->","0.37","8,886.00","",
"MITSUBISHI 5241FL01","2012-02-28 07:52:26","9.508285","-7.554858","18.537","1","171.08","Position GPS<!--243389-->","0.37","8,886.00","",
"MITSUBISHI 5241FL01","2012-02-28 07:52:40","9.5077","-7.554782","8.066","1","196.07","Position GPS<!--243390-->","0.43","8,886.10","",
"MITSUBISHI 5241FL01","2012-02-28 07:52:58","9.507655","-7.554495","26.9915","1","83.56","Position GPS<!--243391-->","0.43","8,886.10","",
"MITSUBISHI 5241FL01","2012-02-28 07:53:12","9.50779","-7.553105","41.4955","1","84.32","Position GPS<!--243392-->","0.59","8,886.30","",
"MITSUBISHI 5241FL01","2012-02-28 07:53:26","9.507945","-7.55147","45.8985","1","85.03","Position GPS<!--243393-->","0.77","8,886.40","",
"MITSUBISHI 5241FL01","2012-02-28 07:53:48","9.508032","-7.551545","38.406","1","265.78","Position GPS<!--243394-->","0.78","8,886.50","",
"MITSUBISHI 5241FL01","2012-02-28 07:54:02","9.507868","-7.5533","55.2965","1","264.09","Position GPS<!--243395-->","0.97","8,886.70","",
"MITSUBISHI 5241FL01","2012-02-28 07:54:16","9.507708","-7.555013","41.329","1","264.07","Position GPS<!--243396-->","1.16","8,886.90","",
"MITSUBISHI 5241FL01","2012-02-28 07:54:30","9.507567","-7.556463","36.3525","1","265.09","Position GPS<!--243397-->","1.32","8,887.10","",
"MITSUBISHI 5241FL01","2012-02-28 07:54:44","9.507692","-7.557432","12.5615","1","254.05","Position GPS<!--243398-->","1.43","8,887.20","",
"MITSUBISHI 5241FL01","2012-02-28 07:54:58","9.507448","-7.557772","22.0335","1","252.01","Position GPS<!--243399-->","1.43","8,887.20","",
"MITSUBISHI 5241FL01","2012-02-28 07:55:12","9.507332","-7.558753","30.636","1","263.27","Position GPS<!--243400-->","1.54","8,887.40","",
"MITSUBISHI 5241FL01","2012-02-28 07:55:26","9.507217","-7.559993","25.974","1","265.33","Position GPS<!--243401-->","1.67","8,887.50","",
"MITSUBISHI 5241FL01","2012-02-28 07:55:40","9.507092","-7.561127","35.3535","1","264.33","Position GPS<!--243402-->","1.80","8,887.60","",
"MITSUBISHI 5241FL01","2012-02-28 07:55:54","9.506992","-7.562202","30.525","1","265.14","Position GPS<!--243403-->","1.92","8,887.70","",
"MITSUBISHI 5241FL01","2012-02-28 07:56:08","9.507137","-7.563092","20.0725","1","255.46","Position GPS<!--243404-->","2.02","8,887.80","",
"MITSUBISHI 5241FL01","2012-02-28 07:56:22","9.506785","-7.564022","41.3105","1","265.93","Position GPS<!--243405-->","2.13","8,887.90","",
"MITSUBISHI 5241FL01","2012-02-28 07:56:36","9.506642","-7.565193","14.3745","1","234.19","Position GPS<!--243406-->","2.26","8,888.10","",
"MITSUBISHI 5241FL01","2012-02-28 07:56:50","9.50545","-7.565093","41.329","1","173.01","Position GPS<!--243407-->","2.39","8,888.20","",
"MITSUBISHI 5241FL01","2012-02-28 07:57:07","9.504095","-7.564937","39.3125","1","174.13","Position GPS<!--243408-->","2.54","8,888.30","",
"MITSUBISHI 5241FL01","2012-02-28 07:57:21","9.502688","-7.564767","34.6505","1","174.23","Position GPS<!--243409-->","2.70","8,888.50","",
"MITSUBISHI 5241FL01","2012-02-28 07:57:35","9.502127","-7.564633","8.8985","1","89.13","Position GPS<!--243410-->","2.76","8,888.60","",
"MITSUBISHI 5241FL01","2012-02-28 07:59:20","9.502383","-7.564713","18.6665","1","343.7","Position GPS<!--243411-->","2.76","8,888.60","",
"MITSUBISHI 5241FL01","2012-02-28 07:59:34","9.50334","-7.56484","33.9475","1","355.33","Position GPS<!--243412-->","2.87","8,888.70","",
"MITSUBISHI 5241FL01","2012-02-28 07:59:48","9.504538","-7.56497","30.0625","1","353.57","Position GPS<!--243413-->","3.00","8,888.80","",
"MITSUBISHI 5241FL01","2012-02-28 08:00:02","9.505908","-7.565122","43.586","1","355.12","Position GPS<!--243414-->","3.15","8,889.00","",
"MITSUBISHI 5241FL01","2012-02-28 08:00:16","9.506663","-7.565433","25.9925","1","263.37","Position GPS<!--243415-->","3.24","8,889.10","",
"MITSUBISHI 5241FL01","2012-02-28 08:00:30","9.506405","-7.566672","37.5735","1","254.48","Position GPS<!--243416-->","3.38","8,889.20","",
"MITSUBISHI 5241FL01","2012-02-28 08:00:44","9.506075","-7.567967","37.925","1","254.65","Position GPS<!--243417-->","3.53","8,889.30","",
"MITSUBISHI 5241FL01","2012-02-28 08:00:58","9.50575","-7.569207","28.49","1","255.27","Position GPS<!--243418-->","3.67","8,889.40","",
"MITSUBISHI 5241FL01","2012-02-28 08:01:12","9.505592","-7.569858","13.505","1","256.28","Position GPS<!--243419-->","3.74","8,889.50","",
"MITSUBISHI 5241FL01","2012-02-28 08:06:01","9.505627","-7.569677","2.664","1","74.99","Position GPS<!--243420-->","3.74","8,889.50","A12, Odienné, Côte d'Ivoire",
"MITSUBISHI 5241FL01","2012-02-28 08:07:13","9.505677","-7.569383","2.3865","1","78.77","Position GPS<!--243421-->","3.77","8,889.60","",
"MITSUBISHI 5241FL01","2012-02-28 08:07:57","9.505767","-7.569078","23.902","1","76.88","Position GPS<!--243422-->","3.77","8,889.60","",
"MITSUBISHI 5241FL01","2012-02-28 08:08:11","9.506032","-7.567995","35.409","1","75.85","Position GPS<!--243423-->","3.90","8,889.70","",
"MITSUBISHI 5241FL01","2012-02-28 08:08:25","9.506353","-7.566717","40.9405","1","75.56","Position GPS<!--243424-->","4.04","8,889.80","",
"MITSUBISHI 5241FL01","2012-02-28 08:08:39","9.506638","-7.56538","29.1005","1","84.87","Position GPS<!--243425-->","4.19","8,890.00","",
"MITSUBISHI 5241FL01","2012-02-28 08:08:52","9.506752","-7.564292","43.0865","1","84.33","Position GPS<!--243426-->","4.31","8,890.10","",
"MITSUBISHI 5241FL01","2012-02-28 08:09:06","9.506622","-7.563055","26.5105","1","133.85","Position GPS<!--243427-->","4.45","8,890.20","",
"MITSUBISHI 5241FL01","2012-02-28 08:09:20","9.505632","-7.562835","33.3185","1","174.83","Position GPS<!--243428-->","4.56","8,890.40","",
"MITSUBISHI 5241FL01","2012-02-28 08:09:34","9.504563","-7.562737","25.974","1","174.17","Position GPS<!--243429-->","4.68","8,890.50","",
"MITSUBISHI 5241FL01","2012-02-28 08:09:48","9.503333","-7.562603","36.038","1","173.36","Position GPS<!--243430-->","4.82","8,890.60","",
"MITSUBISHI 5241FL01","2012-02-28 08:10:02","9.502215","-7.562497","32.1345","1","172.91","Position GPS<!--243431-->","4.94","8,890.70","",
"MITSUBISHI 5241FL01","2012-02-28 08:10:16","9.50176","-7.562065","33.929","1","81.39","Position GPS<!--243432-->","5.01","8,890.80","",
"MITSUBISHI 5241FL01","2012-02-28 08:10:30","9.502503","-7.561187","18.0005","1","81.28","Position GPS<!--243433-->","5.14","8,891.00","",
"MITSUBISHI 5241FL01","2012-02-28 08:10:44","9.501902","-7.56105","19.943","1","185.04","Position GPS<!--243434-->","5.14","8,891.00","",
"MITSUBISHI 5241FL01","2012-02-28 08:10:58","9.500975","-7.560972","27.8055","1","173.96","Position GPS<!--243435-->","5.24","8,891.10","",
"MITSUBISHI 5241FL01","2012-02-28 08:11:12","9.499977","-7.560895","21.5895","1","178.21","Position GPS<!--243436-->","5.35","8,891.20","",
"MITSUBISHI 5241FL01","2012-02-28 08:11:26","9.498988","-7.560758","26.9915","1","172.74","Position GPS<!--243437-->","5.46","8,891.40","",
"MITSUBISHI 5241FL01","2012-02-28 08:11:40","9.49812","-7.560703","16.1505","1","174.8","Position GPS<!--243438-->","5.56","8,891.50","",
"MITSUBISHI 5241FL01","2012-02-28 08:11:54","9.49807","-7.561182","18.87","1","266.31","Position GPS<!--243439-->","5.56","8,891.50","",
"MITSUBISHI 5241FL01","2012-02-28 08:16:56","9.49808","-7.561253","0.185","1","89.19","Position GPS<!--243440-->","5.56","8,891.50","",
"MITSUBISHI 5241FL01","2012-02-28 08:21:56","9.498065","-7.561323","0.111","1","106.4","Position GPS<!--243441-->","5.56","8,891.50","",
"MITSUBISHI 5241FL01","2012-02-28 08:26:56","9.498065","-7.561305","0.185","1","90.78","Position GPS<!--243442-->","5.56","8,891.50","",
"MITSUBISHI 5241FL01","2012-02-28 08:31:56","9.498062","-7.561317","0.0555","1","114.17","Position GPS<!--243443-->","5.56","8,891.50","",
"MITSUBISHI 5241FL01","2012-02-28 08:36:55","9.498067","-7.561295","0.074","1","94.72","Position GPS<!--243444-->","5.56","8,891.50","",
"MITSUBISHI 5241FL01","2012-02-28 08:41:55","9.498083","-7.561315","0.185","1","75.32","Position GPS<!--243445-->","5.56","8,891.50","",
"MITSUBISHI 5241FL01","2012-02-28 08:46:55","9.498067","-7.561303","0.037","1","86.55","Position GPS<!--243446-->","5.56","8,891.50","",
"MITSUBISHI 5241FL01","2012-02-28 08:51:55","9.49807","-7.561342","0.074","1","97.95","Position GPS<!--243448-->","5.56","8,891.50","",
"MITSUBISHI 5241FL01","2012-02-28 08:58:28","9.498217","-7.560733","20.535","1","357.79","Position GPS<!--243449-->","5.63","8,891.60","",
"MITSUBISHI 5241FL01","2012-02-28 08:58:38","9.498915","-7.560777","30.895","1","352.17","Position GPS<!--243450-->","5.70","8,891.70","",
"MITSUBISHI 5241FL01","2012-02-28 08:58:53","9.499973","-7.560932","22.7735","1","354.78","Position GPS<!--243447-->","5.82","8,891.80","",
"MITSUBISHI 5241FL01","2012-02-28 08:59:06","9.50082","-7.56101","22.5885","1","354.18","Position GPS<!--243451-->","5.92","8,891.90","",
