"IMEI Traceur","Date:","Lat:","Long:","Vitesse:","Signal:","Orient:","Etat:","Distance:","Odometer(KM)","Addresse:",
"MITSUBISHI 8114FL01","2012-02-28 00:00:13","5.460767","-4.045715","0.074","1","253.34","Position GPS<!--255424-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:00:27","5.460765","-4.045712","0.3515","1","43.76","Position GPS<!--255425-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:00:58","5.460767","-4.0457","0.148","1","28.4","Position GPS<!--255426-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:01:11","5.460765","-4.045702","0.1665","1","47.19","Position GPS<!--255427-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:01:37","5.46076","-4.0457","0.1295","1","286.34","Position GPS<!--255428-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:01:51","5.460755","-4.0457","0.111","1","40.6","Position GPS<!--255429-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:02:05","5.460748","-4.045707","0.111","1","254.22","Position GPS<!--255430-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:02:29","5.460745","-4.045708","0.111","1","17.3","Position GPS<!--255431-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:02:51","5.460747","-4.045702","0.0555","1","11.05","Position GPS<!--255432-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:03:10","5.460745","-4.045698","0.074","1","19.19","Position GPS<!--255433-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:03:39","5.460747","-4.045693","0.148","1","49.39","Position GPS<!--255434-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:04:09","5.46075","-4.045692","0.111","1","34.7","Position GPS<!--255435-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:04:24","5.46075","-4.045693","0.0185","1","354.01","Position GPS<!--255436-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:04:40","5.460752","-4.045697","0.2775","1","48.26","Position GPS<!--255437-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:04:54","5.460757","-4.045698","0.037","1","353.34","Position GPS<!--255438-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:05:12","5.460762","-4.045707","0.037","1","315.35","Position GPS<!--255439-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:05:42","5.460775","-4.045705","0.1665","1","39.94","Position GPS<!--255440-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:06:02","5.460778","-4.045705","0.0555","1","270.69","Position GPS<!--255441-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:06:16","5.460777","-4.04571","0.0925","1","28.74","Position GPS<!--255442-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:06:30","5.460775","-4.045713","0.1665","1","22.81","Position GPS<!--255443-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:06:48","5.460775","-4.045712","0.1295","1","4.83","Position GPS<!--255444-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:07:10","5.460773","-4.045702","0.074","1","24.06","Position GPS<!--255445-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:07:24","5.460773","-4.045698","0.1295","1","28.75","Position GPS<!--255446-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:07:38","5.46077","-4.0457","0.074","1","56.02","Position GPS<!--255447-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:07:51","5.460772","-4.045697","0.0925","1","12.98","Position GPS<!--255448-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:08:05","5.460772","-4.045697","0.111","1","0.42","Position GPS<!--255449-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:08:19","5.460772","-4.045697","0.0925","1","4.31","Position GPS<!--255450-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:08:32","5.460772","-4.045695","0.222","1","31.07","Position GPS<!--255451-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:08:45","5.46077","-4.045698","0.074","1","36.79","Position GPS<!--255452-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:09:00","5.46077","-4.0457","0.0925","1","6.34","Position GPS<!--255453-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:09:17","5.460772","-4.045698","0.111","1","0.96","Position GPS<!--255454-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:09:33","5.460773","-4.045697","0.0925","1","12.61","Position GPS<!--255455-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:09:46","5.460773","-4.045697","0.074","1","359.67","Position GPS<!--255456-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:10:01","5.460772","-4.045698","0.2035","1","36.35","Position GPS<!--255457-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:10:15","5.46077","-4.0457","0.0555","1","253.66","Position GPS<!--255458-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:10:29","5.46077","-4.045702","0.296","1","30.58","Position GPS<!--255459-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:10:43","5.460772","-4.045702","0.1665","1","23.73","Position GPS<!--255460-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:10:57","5.460777","-4.0457","0.0925","1","3.87","Position GPS<!--255461-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:11:14","5.460783","-4.045698","0.111","1","359.38","Position GPS<!--255462-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:11:43","5.46079","-4.045698","0.0555","1","30.18","Position GPS<!--255463-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:12:20","5.460797","-4.045697","0.074","1","339.93","Position GPS<!--255464-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:12:42","5.460797","-4.045697","0.1295","1","6.93","Position GPS<!--255465-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:12:55","5.460798","-4.045697","0.111","1","10.7","Position GPS<!--255466-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:13:10","5.460803","-4.045698","0.148","1","3.4","Position GPS<!--255467-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:13:27","5.46082","-4.0457","0.1295","1","353.25","Position GPS<!--255468-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:13:40","5.460832","-4.045703","0.185","1","5.36","Position GPS<!--255469-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:13:56","5.460827","-4.045705","0.0185","1","202.22","Position GPS<!--255470-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:14:11","5.46082","-4.045707","0.111","1","349.64","Position GPS<!--255471-->","0.00","10,564.40","",
"MITSUBISHI 8114FL01","2012-02-28 00:14:24","5.460815","-4.045707","0.185","1","351.9","Position GPS<!--255472-->","0.00","10,564.40","",
