"IMEI Traceur","Date:","Lat:","Long:","Vitesse:","Signal:","Orient:","Etat:","Distance:","Odometer(KM)","Addresse:",
"NISSAN PATHFINDER 6515WW","2012-02-28 00:00:10","5.336438","-3.999097","0","1","241.7","Position GPS<!--204948-->","0.00","946.30","Rue des Papayers, Abidjan, Côte d'Ivoire",
"NISSAN PATHFINDER 6515WW","2012-02-28 00:00:24","5.336438","-3.999097","0","1","2","Position GPS<!--204949-->","0.00","946.30","Rue des Papayers, Abidjan, Côte d'Ivoire",
"NISSAN PATHFINDER 6515WW","2012-02-28 00:00:40","5.336438","-3.999097","0","1","241.7","Position GPS<!--204950-->","0.00","946.30","Rue des Papayers, Abidjan, Côte d'Ivoire",
"NISSAN PATHFINDER 6515WW","2012-02-28 00:01:10","5.336438","-3.999097","0","1","241.7","Position GPS<!--204951-->","0.00","946.30","Rue des Papayers, Abidjan, Côte d'Ivoire",
"NISSAN PATHFINDER 6515WW","2012-02-28 00:01:24","5.336438","-3.999097","0","1","2","Position GPS<!--204952-->","0.00","946.30","Rue des Papayers, Abidjan, Côte d'Ivoire",
"NISSAN PATHFINDER 6515WW","2012-02-28 00:01:40","5.336438","-3.999097","0","1","241.7","Position GPS<!--204953-->","0.00","946.30","Rue des Papayers, Abidjan, Côte d'Ivoire",
"NISSAN PATHFINDER 6515WW","2012-02-28 00:01:55","5.336438","-3.999097","0","1","2","Position GPS<!--204954-->","0.00","946.30","Rue des Papayers, Abidjan, Côte d'Ivoire",
"NISSAN PATHFINDER 6515WW","2012-02-28 00:02:10","5.336438","-3.999097","0","1","241.7","Position GPS<!--204955-->","0.00","946.30","Rue des Papayers, Abidjan, Côte d'Ivoire",
"NISSAN PATHFINDER 6515WW","2012-02-28 00:02:40","5.336438","-3.999097","0","1","241.7","Position GPS<!--204956-->","0.00","946.30","Rue des Papayers, Abidjan, Côte d'Ivoire",
"NISSAN PATHFINDER 6515WW","2012-02-28 00:03:03","5.336438","-3.999097","0","1","2","Position GPS<!--204957-->","0.00","946.30","Rue des Papayers, Abidjan, Côte d'Ivoire",
"NISSAN PATHFINDER 6515WW","2012-02-28 00:03:10","5.336438","-3.999097","0","1","241.7","Position GPS<!--204958-->","0.00","946.30","Rue des Papayers, Abidjan, Côte d'Ivoire",
"NISSAN PATHFINDER 6515WW","2012-02-28 00:03:24","5.336438","-3.999097","0","1","2","Position GPS<!--204959-->","0.00","946.30","Rue des Papayers, Abidjan, Côte d'Ivoire",
"NISSAN PATHFINDER 6515WW","2012-02-28 00:03:40","5.336438","-3.999097","0","1","241.7","Position GPS<!--204960-->","0.00","946.30","Rue des Papayers, Abidjan, Côte d'Ivoire",
"NISSAN PATHFINDER 6515WW","2012-02-28 00:03:59","5.336438","-3.999097","0","1","2","Position GPS<!--204961-->","0.00","946.30","Rue des Papayers, Abidjan, Côte d'Ivoire",
"NISSAN PATHFINDER 6515WW","2012-02-28 00:04:10","5.336438","-3.999097","0","1","241.7","Position GPS<!--204962-->","0.00","946.30","Rue des Papayers, Abidjan, Côte d'Ivoire",
