"IMEI Traceur","Date:","Lat:","Long:","Vitesse:","Signal:","Orient:","Etat:","Distance:","Odometer(KM)","Addresse:",
"KIA SPORTAGE 5971 WW","2012-02-28 00:00:22","5.323997","-4.02316","0.2775","1","231.51","Position GPS<!--307521-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:00:40","5.324","-4.02315","0.518","1","294.61","Position GPS<!--307522-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:01:04","5.324013","-4.023167","0.0925","1","216.92","Position GPS<!--307523-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:01:21","5.32402","-4.023178","0.296","1","149.6","Position GPS<!--307524-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:01:45","5.324037","-4.023182","0.1665","1","121.12","Position GPS<!--307525-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:02:07","5.324043","-4.023185","0.148","1","280.84","Position GPS<!--307526-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:02:20","5.324042","-4.023182","0.1295","1","261.89","Position GPS<!--307527-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:02:49","5.324048","-4.023192","0.111","1","201.67","Position GPS<!--307528-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:03:19","5.324047","-4.023187","0.1665","1","165.67","Position GPS<!--307529-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:03:39","5.324043","-4.023188","0.333","1","110.71","Position GPS<!--307530-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:03:58","5.324038","-4.023172","0.222","1","155.02","Position GPS<!--307531-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:04:30","5.323977","-4.023177","0.6475","1","133.61","Position GPS<!--307532-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:04:51","5.323922","-4.023162","0.5735","1","126.61","Position GPS<!--307533-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:05:06","5.32394","-4.023177","0.4255","1","123.62","Position GPS<!--307534-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:05:21","5.32396","-4.023148","0.111","1","109.26","Position GPS<!--307535-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:05:35","5.323967","-4.023117","0.259","1","144.36","Position GPS<!--307536-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:05:53","5.323978","-4.023115","0.1665","1","104.35","Position GPS<!--307537-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:06:08","5.32398","-4.023113","0.925","1","116.32","Position GPS<!--307538-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:06:35","5.323995","-4.023117","0.259","1","152.89","Position GPS<!--307539-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:06:48","5.323993","-4.023127","0.4625","1","284.8","Position GPS<!--307540-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:07:02","5.323982","-4.023122","0.0555","1","329.05","Position GPS<!--307541-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:07:18","5.323977","-4.023123","0.2035","1","235.83","Position GPS<!--307542-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:07:47","5.323965","-4.023142","0.2035","1","169.07","Position GPS<!--307543-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:08:04","5.323982","-4.023108","0.5365","1","117.63","Position GPS<!--307544-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:08:23","5.323982","-4.02309","0.444","1","181.42","Position GPS<!--307545-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:08:37","5.323968","-4.023067","0.407","1","165.29","Position GPS<!--307546-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:08:52","5.323968","-4.023058","0.185","1","174.11","Position GPS<!--307547-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:09:13","5.323987","-4.02307","0.1295","1","280.54","Position GPS<!--307548-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:09:28","5.323998","-4.023075","0.111","1","174.4","Position GPS<!--307549-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:09:59","5.323992","-4.02311","0.2035","1","237.21","Position GPS<!--307550-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:10:27","5.323992","-4.023125","0.2775","1","245.55","Position GPS<!--307551-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:10:45","5.323988","-4.023125","0.1295","1","245.01","Position GPS<!--307552-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:11:05","5.323983","-4.023125","0.1295","1","236.01","Position GPS<!--307553-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:11:24","5.323977","-4.023137","0.185","1","222.98","Position GPS<!--307554-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:11:40","5.323975","-4.023137","0.4995","1","129.46","Position GPS<!--307555-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:11:56","5.323973","-4.023127","0.2405","1","270.2","Position GPS<!--307556-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:12:25","5.323977","-4.023133","0.1665","1","227.79","Position GPS<!--307557-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:12:46","5.323968","-4.023125","0.222","1","287.13","Position GPS<!--307558-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:12:59","5.323967","-4.023125","0.148","1","184.04","Position GPS<!--307559-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:13:12","5.323975","-4.023133","0.481","1","275.95","Position GPS<!--307560-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:13:25","5.323983","-4.023145","0.407","1","267.73","Position GPS<!--307561-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:13:56","5.324002","-4.023178","0.2405","1","154.41","Position GPS<!--307562-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:14:11","5.324012","-4.023185","0.666","1","125.13","Position GPS<!--307563-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:14:24","5.324008","-4.023177","0.2405","1","245.77","Position GPS<!--307564-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:14:37","5.323998","-4.02315","0.3145","1","145.87","Position GPS<!--307565-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:14:50","5.324","-4.023142","0.4625","1","138.54","Position GPS<!--307566-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:15:06","5.324008","-4.023145","0.4995","1","130.74","Position GPS<!--307567-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:15:24","5.324023","-4.02314","0.333","1","141.05","Position GPS<!--307568-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:15:37","5.324008","-4.02311","0.333","1","137.02","Position GPS<!--307569-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:16:03","5.323995","-4.023063","0.148","1","226.44","Position GPS<!--307570-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:16:17","5.32401","-4.023072","0.3515","1","270.91","Position GPS<!--307571-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:16:36","5.324017","-4.023088","0.3145","1","148.96","Position GPS<!--307572-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:17:05","5.324017","-4.023118","0.2405","1","140.32","Position GPS<!--307573-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:17:22","5.324023","-4.023137","0.0555","1","220.06","Position GPS<!--307574-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:17:45","5.32402","-4.023135","0.4995","1","135.42","Position GPS<!--307575-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:17:59","5.324013","-4.023123","1.221","1","118.77","Position GPS<!--307576-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:18:13","5.324027","-4.023152","0.6105","1","278.11","Position GPS<!--307577-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:18:30","5.324027","-4.02316","0.1665","1","185.39","Position GPS<!--307578-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"KIA SPORTAGE 5971 WW","2012-02-28 00:18:49","5.324018","-4.023153","0.629","1","129.8","Position GPS<!--307579-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:19:02","5.324012","-4.023155","0.1295","1","192.04","Position GPS<!--307580-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:19:33","5.323993","-4.023128","0.148","1","199.15","Position GPS<!--307581-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:19:50","5.32399","-4.023128","0.296","1","141.74","Position GPS<!--307582-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:20:04","5.323985","-4.02313","0.333","1","163.17","Position GPS<!--307583-->","0.00","2,255.20","",
"KIA SPORTAGE 5971 WW","2012-02-28 00:20:36","5.32397","-4.023137","0.259","1","179.06","Position GPS<!--307584-->","0.00","2,255.20","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
