"IMEI Traceur","Date:","Lat:","Long:","Vitesse:","Signal:","Orient:","Etat:","Distance:","Odometer(KM)","Addresse:",
"FORD 4X4 2787FK01","2012-02-28 00:00:03","6.559387","-5.024282","0.0185","1","46.03","Position GPS<!--161630-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:00:19","6.559388","-5.02428","0","1","14.34","Position GPS<!--161631-->","0.00","4,219.46","A3, Toumodi, Côte d'Ivoire",
"FORD 4X4 2787FK01","2012-02-28 00:00:36","6.559387","-5.024277","0.074","1","71.65","Position GPS<!--161632-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:00:50","6.559387","-5.024275","0.037","1","52.86","Position GPS<!--161633-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:01:05","6.559387","-5.024273","0.0185","1","357.02","Position GPS<!--161634-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:01:23","6.559392","-5.02427","0.1665","1","73.38","Position GPS<!--161635-->","0.00","4,219.46","A3, Toumodi, Côte d'Ivoire",
"FORD 4X4 2787FK01","2012-02-28 00:01:52","6.5594","-5.02426","0.1295","1","70.85","Position GPS<!--161636-->","0.00","4,219.46","A3, Toumodi, Côte d'Ivoire",
"FORD 4X4 2787FK01","2012-02-28 00:02:22","6.559405","-5.024257","0.2405","1","58.43","Position GPS<!--161637-->","0.00","4,219.46","A3, Toumodi, Côte d'Ivoire",
"FORD 4X4 2787FK01","2012-02-28 00:02:49","6.559408","-5.024253","0.0925","1","33.01","Position GPS<!--161638-->","0.00","4,219.46","A3, Toumodi, Côte d'Ivoire",
"FORD 4X4 2787FK01","2012-02-28 00:03:02","6.559412","-5.024252","0.185","1","72.12","Position GPS<!--161639-->","0.00","4,219.46","A3, Toumodi, Côte d'Ivoire",
"FORD 4X4 2787FK01","2012-02-28 00:03:17","6.559415","-5.024243","0.111","1","27.15","Position GPS<!--161640-->","0.00","4,219.46","A3, Toumodi, Côte d'Ivoire",
"FORD 4X4 2787FK01","2012-02-28 00:03:47","6.559415","-5.024237","0.111","1","64.7","Position GPS<!--161641-->","0.00","4,219.46","A3, Toumodi, Côte d'Ivoire",
"FORD 4X4 2787FK01","2012-02-28 00:04:17","6.559403","-5.024253","0.074","1","238","Position GPS<!--161642-->","0.00","4,219.46","A3, Toumodi, Côte d'Ivoire",
"FORD 4X4 2787FK01","2012-02-28 00:04:32","6.559383","-5.024323","0.0555","1","246.64","Position GPS<!--161643-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:04:46","6.55937","-5.024362","0.0925","1","55.66","Position GPS<!--161644-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:05:00","6.559362","-5.024382","0.148","1","68.42","Position GPS<!--161645-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:05:17","6.559353","-5.024392","0.148","1","74.18","Position GPS<!--161646-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:05:45","6.559368","-5.024357","0.0555","1","46.88","Position GPS<!--161647-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:06:01","6.559377","-5.024345","0.1295","1","47.72","Position GPS<!--161648-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:06:15","6.55938","-5.02434","0.1665","1","63.14","Position GPS<!--161649-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:06:47","6.559385","-5.024318","0.3515","1","72","Position GPS<!--161650-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:07:23","6.559385","-5.024303","0.1295","1","82.9","Position GPS<!--161651-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:07:40","6.559385","-5.0243","0.0925","1","57.16","Position GPS<!--161652-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:08:00","6.559385","-5.024298","0.074","1","2.84","Position GPS<!--161653-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:08:42","6.559392","-5.024283","0.074","1","303.32","Position GPS<!--161655-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:08:59","6.559392","-5.02428","0.0925","1","294.12","Position GPS<!--161656-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:09:30","6.559393","-5.024275","0.0555","1","306.35","Position GPS<!--161657-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:09:46","6.559395","-5.024272","0.0555","1","316.81","Position GPS<!--161654-->","0.00","4,219.46","A3, Toumodi, Côte d'Ivoire",
"FORD 4X4 2787FK01","2012-02-28 00:10:16","6.559398","-5.024268","0.111","1","308.85","Position GPS<!--161658-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:10:47","6.559405","-5.024262","0.0925","1","301.06","Position GPS<!--161659-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:11:17","6.559403","-5.02426","0.074","1","253.7","Position GPS<!--161660-->","0.00","4,219.46","A3, Toumodi, Côte d'Ivoire",
"FORD 4X4 2787FK01","2012-02-28 00:11:47","6.559407","-5.02426","0.0925","1","299.29","Position GPS<!--161661-->","0.00","4,219.46","A3, Toumodi, Côte d'Ivoire",
"FORD 4X4 2787FK01","2012-02-28 00:12:10","6.559408","-5.024262","0.037","1","95.33","Position GPS<!--161662-->","0.00","4,219.46","A3, Toumodi, Côte d'Ivoire",
"FORD 4X4 2787FK01","2012-02-28 00:12:39","6.559412","-5.024268","0.111","1","296.18","Position GPS<!--161663-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:13:09","6.559425","-5.02429","0.0925","1","288.67","Position GPS<!--161664-->","0.00","4,219.46","A3, Toumodi, Côte d'Ivoire",
"FORD 4X4 2787FK01","2012-02-28 00:13:39","6.559422","-5.02429","0.0925","1","283.96","Position GPS<!--161665-->","0.00","4,219.46","A3, Toumodi, Côte d'Ivoire",
"FORD 4X4 2787FK01","2012-02-28 00:14:04","6.55942","-5.024287","0.0555","1","49.98","Position GPS<!--161666-->","0.00","4,219.46","",
"FORD 4X4 2787FK01","2012-02-28 00:14:21","6.559418","-5.024285","0.037","1","65.46","Position GPS<!--161667-->","0.00","4,219.46","",
