"IMEI Traceur","Date:","Lat:","Long:","Vitesse:","Signal:","Orient:","Etat:","Distance:","Odometer(KM)","Addresse:",
"TOYOTA PRADO 7853FH01","2012-02-28 00:00:04","5.323998","-4.023127","0.0185","1","333.52","Position GPS<!--347706-->","0.00","7,951.90","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"TOYOTA PRADO 7853FH01","2012-02-28 00:00:19","5.324005","-4.02315","0.2775","1","125.63","Position GPS<!--347707-->","0.00","7,951.90","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"TOYOTA PRADO 7853FH01","2012-02-28 00:00:33","5.323997","-4.023138","0.3145","1","120.7","Position GPS<!--347708-->","0.00","7,951.90","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"TOYOTA PRADO 7853FH01","2012-02-28 00:00:47","5.32399","-4.02313","0.185","1","111.26","Position GPS<!--347709-->","0.00","7,951.90","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"TOYOTA PRADO 7853FH01","2012-02-28 00:01:19","5.323992","-4.023138","0.074","1","118.83","Position GPS<!--347710-->","0.00","7,951.90","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"TOYOTA PRADO 7853FH01","2012-02-28 00:01:35","5.323993","-4.02318","0.037","1","180.27","Position GPS<!--347711-->","0.00","7,951.90","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"TOYOTA PRADO 7853FH01","2012-02-28 00:01:51","5.323988","-4.023177","0.0185","1","164.79","Position GPS<!--347712-->","0.00","7,951.90","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"TOYOTA PRADO 7853FH01","2012-02-28 00:02:06","5.323988","-4.023163","0.037","1","138.84","Position GPS<!--347713-->","0.00","7,951.90","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"TOYOTA PRADO 7853FH01","2012-02-28 00:02:26","5.323992","-4.023158","0.037","1","213.48","Position GPS<!--347714-->","0.00","7,951.90","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"TOYOTA PRADO 7853FH01","2012-02-28 00:02:40","5.324","-4.023168","0.074","1","140.61","Position GPS<!--347715-->","0.00","7,951.90","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"TOYOTA PRADO 7853FH01","2012-02-28 00:02:56","5.324","-4.023162","0.1295","1","279.43","Position GPS<!--347716-->","0.00","7,951.90","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
