"IMEI Traceur","Date:","Lat:","Long:","Vitesse:","Signal:","Orient:","Etat:","Distance:","Odometer(KM)","Addresse:",
"MITSUBISHI 5984FL01","2012-02-28 00:00:14","5.32376","-4.022703","0.0925","1","300.17","Position GPS<!--289986-->","0.00","9,951.10","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5984FL01","2012-02-28 00:00:27","5.323763","-4.022687","0.111","1","342.71","Position GPS<!--289987-->","0.00","9,951.10","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5984FL01","2012-02-28 00:00:41","5.323763","-4.022692","0.0925","1","15.61","Position GPS<!--289988-->","0.00","9,951.10","",
"MITSUBISHI 5984FL01","2012-02-28 00:00:57","5.323767","-4.022682","0.0925","1","42.55","Position GPS<!--289989-->","0.00","9,951.10","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5984FL01","2012-02-28 00:01:11","5.323765","-4.022692","0.111","1","25.72","Position GPS<!--289990-->","0.00","9,951.10","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5984FL01","2012-02-28 00:01:26","5.323768","-4.02267","0.4625","1","64.84","Position GPS<!--289991-->","0.00","9,951.10","",
"MITSUBISHI 5984FL01","2012-02-28 00:01:42","5.323768","-4.022677","0.37","1","68.02","Position GPS<!--289992-->","0.00","9,951.10","",
"MITSUBISHI 5984FL01","2012-02-28 00:01:56","5.323765","-4.022683","0.1665","1","289.59","Position GPS<!--289993-->","0.00","9,951.10","",
"MITSUBISHI 5984FL01","2012-02-28 00:02:15","5.323762","-4.022662","0.2775","1","62.83","Position GPS<!--289994-->","0.00","9,951.10","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5984FL01","2012-02-28 00:02:32","5.323758","-4.022665","0.111","1","13.29","Position GPS<!--289995-->","0.00","9,951.10","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5984FL01","2012-02-28 00:02:48","5.323755","-4.022678","0.111","1","356.83","Position GPS<!--289996-->","0.00","9,951.10","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5984FL01","2012-02-28 00:03:02","5.323757","-4.022678","0.4255","1","68.99","Position GPS<!--289997-->","0.00","9,951.10","",
"MITSUBISHI 5984FL01","2012-02-28 00:03:34","5.323755","-4.022685","0.2405","1","65.24","Position GPS<!--289998-->","0.00","9,951.10","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5984FL01","2012-02-28 00:03:56","5.323753","-4.022687","0.1295","1","9.46","Position GPS<!--289999-->","0.00","9,951.10","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5984FL01","2012-02-28 00:04:17","5.32375","-4.022698","0.074","1","2.85","Position GPS<!--290000-->","0.00","9,951.10","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5984FL01","2012-02-28 00:04:31","5.323747","-4.022728","0.4995","1","63.51","Position GPS<!--290001-->","0.00","9,951.10","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5984FL01","2012-02-28 00:04:45","5.32375","-4.022722","0.1295","1","271.51","Position GPS<!--290002-->","0.00","9,951.10","",
"MITSUBISHI 5984FL01","2012-02-28 00:04:59","5.323753","-4.022712","0.333","1","264.62","Position GPS<!--290003-->","0.00","9,951.10","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5984FL01","2012-02-28 00:05:18","5.323745","-4.022707","0.333","1","99.3","Position GPS<!--290004-->","0.00","9,951.10","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5984FL01","2012-02-28 00:05:36","5.323743","-4.02272","0.333","1","67.45","Position GPS<!--290005-->","0.00","9,951.10","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5984FL01","2012-02-28 00:05:57","5.323748","-4.022718","0.0925","1","253.62","Position GPS<!--290006-->","0.00","9,951.10","",
"MITSUBISHI 5984FL01","2012-02-28 00:06:13","5.323748","-4.02273","0.1295","1","25.5","Position GPS<!--290007-->","0.00","9,951.10","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5984FL01","2012-02-28 00:06:35","5.323748","-4.022735","0.185","1","50.76","Position GPS<!--290008-->","0.00","9,951.10","",
"MITSUBISHI 5984FL01","2012-02-28 00:06:52","5.32375","-4.022735","0.1665","1","290.51","Position GPS<!--290009-->","0.00","9,951.10","",
"MITSUBISHI 5984FL01","2012-02-28 00:07:08","5.323753","-4.022773","0.111","1","51.93","Position GPS<!--290010-->","0.00","9,951.10","",
"MITSUBISHI 5984FL01","2012-02-28 00:07:22","5.323752","-4.022752","0.111","1","92.58","Position GPS<!--290011-->","0.00","9,951.10","",
"MITSUBISHI 5984FL01","2012-02-28 00:07:36","5.323757","-4.022747","0.0925","1","358.66","Position GPS<!--290012-->","0.00","9,951.10","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5984FL01","2012-02-28 00:07:50","5.323763","-4.022743","0.074","1","14.46","Position GPS<!--290013-->","0.00","9,951.10","",
"MITSUBISHI 5984FL01","2012-02-28 00:08:07","5.323767","-4.022738","0.0925","1","33.99","Position GPS<!--290014-->","0.00","9,951.10","",
"MITSUBISHI 5984FL01","2012-02-28 00:08:21","5.323773","-4.022735","0.1295","1","4.94","Position GPS<!--290015-->","0.00","9,951.10","",
"MITSUBISHI 5984FL01","2012-02-28 00:08:35","5.323782","-4.022735","0.111","1","0.49","Position GPS<!--290016-->","0.00","9,951.10","",
"MITSUBISHI 5984FL01","2012-02-28 00:08:49","5.32378","-4.022732","0.074","1","10.48","Position GPS<!--290017-->","0.00","9,951.10","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5984FL01","2012-02-28 00:09:06","5.323777","-4.022727","0.148","1","69.55","Position GPS<!--290018-->","0.00","9,951.10","",
"MITSUBISHI 5984FL01","2012-02-28 00:09:21","5.323775","-4.022722","0.111","1","35.63","Position GPS<!--290019-->","0.00","9,951.10","",
"MITSUBISHI 5984FL01","2012-02-28 00:09:43","5.323772","-4.022722","0.074","1","18.69","Position GPS<!--290020-->","0.00","9,951.10","",
"MITSUBISHI 5984FL01","2012-02-28 00:09:56","5.32377","-4.022722","0.0925","1","32.41","Position GPS<!--290021-->","0.00","9,951.10","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5984FL01","2012-02-28 00:10:10","5.323767","-4.022727","0.0925","1","19.55","Position GPS<!--290022-->","0.00","9,951.10","",
