"IMEI Traceur","Date:","Lat:","Long:","Vitesse:","Signal:","Orient:","Etat:","Distance:","Odometer(KM)","Addresse:",
"MITSUBISHI 5694FL01","2012-02-28 00:00:19","5.32376","-4.022617","0.148","1","62.98","Position GPS<!--260665-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:00:49","5.323755","-4.022633","0.1665","1","65.57","Position GPS<!--260666-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:01:19","5.323752","-4.022645","0.185","1","66.3","Position GPS<!--260667-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:01:49","5.323753","-4.022647","0.3515","1","63.6","Position GPS<!--260668-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:02:19","5.323762","-4.022637","0.2035","1","69.85","Position GPS<!--260669-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:02:49","5.323768","-4.022623","0.185","1","64.7","Position GPS<!--260670-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:03:19","5.32377","-4.022623","0.1665","1","64.87","Position GPS<!--260671-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:03:49","5.323765","-4.022627","0.0925","1","60.98","Position GPS<!--260672-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:04:04","5.323763","-4.02263","0.111","1","47.87","Position GPS<!--260673-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:04:35","5.32376","-4.02263","0.1665","1","63.43","Position GPS<!--260674-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:05:05","5.323758","-4.022633","0.1295","1","67.16","Position GPS<!--260675-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:05:20","5.323757","-4.022633","0.037","1","279.15","Position GPS<!--260676-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:05:34","5.323757","-4.02264","0.3885","1","69.27","Position GPS<!--260677-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:05:54","5.323757","-4.02264","0.074","1","242.68","Position GPS<!--260678-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:06:15","5.323752","-4.022648","0.111","1","68.83","Position GPS<!--260679-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:06:29","5.323752","-4.022645","0.444","1","67.23","Position GPS<!--260680-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:06:50","5.323753","-4.022633","0.0925","1","218.39","Position GPS<!--260681-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:07:10","5.323748","-4.022638","0.074","1","193.64","Position GPS<!--260682-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:07:28","5.323743","-4.022638","0.1665","1","102.76","Position GPS<!--260683-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:07:42","5.323745","-4.022635","0.0555","1","144.62","Position GPS<!--260684-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:07:57","5.323748","-4.022638","0.037","1","220.97","Position GPS<!--260685-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:08:14","5.323753","-4.02264","0.148","1","84.56","Position GPS<!--260686-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:08:28","5.323757","-4.02264","0.1665","1","243.78","Position GPS<!--260687-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:08:41","5.323758","-4.022642","0.0555","1","42.87","Position GPS<!--260688-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:09:02","5.323762","-4.022633","0.037","1","340.17","Position GPS<!--260689-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:09:16","5.323762","-4.022637","0.185","1","248","Position GPS<!--260690-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:09:45","5.323757","-4.022625","0.222","1","76.84","Position GPS<!--260691-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:09:59","5.323755","-4.022608","0.0185","1","287.76","Position GPS<!--260692-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:10:14","5.323753","-4.022622","0.2405","1","76.01","Position GPS<!--260693-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:10:27","5.32375","-4.02264","0.1665","1","292.37","Position GPS<!--260694-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:10:40","5.323753","-4.022645","0.0925","1","47.9","Position GPS<!--260695-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:10:54","5.323755","-4.022647","0.148","1","87.32","Position GPS<!--260696-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:11:12","5.323758","-4.022645","0.074","1","52.77","Position GPS<!--260697-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:11:40","5.323757","-4.022653","0.111","1","52.12","Position GPS<!--260698-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:11:55","5.323758","-4.022653","0.0925","1","46.3","Position GPS<!--260699-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:12:18","5.323767","-4.022647","0.0555","1","256.25","Position GPS<!--260700-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:12:31","5.32377","-4.022648","0.0555","1","348.77","Position GPS<!--260701-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:12:45","5.323775","-4.022647","0.111","1","58.14","Position GPS<!--260702-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:13:01","5.323777","-4.02265","0.074","1","337.38","Position GPS<!--260703-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:13:16","5.323778","-4.022653","0.4625","1","272.18","Position GPS<!--260704-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:13:31","5.32378","-4.02265","0.7585","1","76.51","Position GPS<!--260705-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:13:46","5.32378","-4.022638","0.0925","1","12.84","Position GPS<!--260706-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:14:00","5.32378","-4.022628","0.1295","1","283.45","Position GPS<!--260707-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:14:17","5.323778","-4.022638","0.37","1","272.07","Position GPS<!--260708-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:14:31","5.323777","-4.022652","0.4625","1","272.85","Position GPS<!--260709-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:14:52","5.323768","-4.022592","0.222","1","249.51","Position GPS<!--260710-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:15:06","5.323765","-4.022598","0.2775","1","82.77","Position GPS<!--260711-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:15:20","5.323768","-4.022592","0.3885","1","266.84","Position GPS<!--260712-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:15:34","5.32377","-4.0226","0.1295","1","330.67","Position GPS<!--260713-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:16:03","5.323768","-4.022625","0.0555","1","356.84","Position GPS<!--260714-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:16:17","5.323767","-4.022635","0.111","1","288.39","Position GPS<!--260715-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:16:30","5.323768","-4.022615","0.3145","1","75.14","Position GPS<!--260716-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:16:50","5.323765","-4.022625","0.9065","1","79.27","Position GPS<!--260717-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:17:05","5.323762","-4.022643","0.0925","1","46.75","Position GPS<!--260718-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:17:21","5.32376","-4.022658","0.666","1","77.47","Position GPS<!--260719-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:17:38","5.323758","-4.022648","0.1665","1","84.81","Position GPS<!--260720-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:17:53","5.323755","-4.022653","0.3145","1","272.79","Position GPS<!--260721-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:18:09","5.323755","-4.022648","0.4995","1","76.71","Position GPS<!--260722-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:18:23","5.32374","-4.022625","0.407","1","78.89","Position GPS<!--260723-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:18:39","5.323738","-4.022617","0.111","1","341.12","Position GPS<!--260724-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:18:53","5.32374","-4.022637","0.148","1","253.69","Position GPS<!--260725-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:19:07","5.323737","-4.022645","0.592","1","267.57","Position GPS<!--260726-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:19:23","5.323743","-4.022668","0.4625","1","76.6","Position GPS<!--260727-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:19:37","5.323743","-4.022658","0.5365","1","79.47","Position GPS<!--260728-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:19:52","5.323738","-4.022648","0.074","1","5.22","Position GPS<!--260729-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:20:09","5.323738","-4.022668","0.4255","1","267.09","Position GPS<!--260730-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:20:23","5.323733","-4.022652","0.0185","1","58.67","Position GPS<!--260731-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:20:37","5.32373","-4.022645","0.148","1","82.43","Position GPS<!--260732-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:20:57","5.323728","-4.022647","0.0925","1","50.91","Position GPS<!--260733-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:21:16","5.323735","-4.022648","0.0555","1","60.24","Position GPS<!--260734-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:21:37","5.323738","-4.02263","0.2775","1","80.57","Position GPS<!--260735-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:21:51","5.32374","-4.022653","0.185","1","72.39","Position GPS<!--260736-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:22:14","5.323738","-4.022617","0.074","1","38.96","Position GPS<!--260737-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:22:32","5.323735","-4.022618","0.0185","1","260","Position GPS<!--260738-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:22:48","5.323725","-4.022625","0.111","1","93.61","Position GPS<!--260739-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:23:20","5.323732","-4.022627","0.1295","1","85.01","Position GPS<!--260740-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:23:46","5.323735","-4.022635","0.222","1","251.37","Position GPS<!--260741-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:23:59","5.323732","-4.022623","0.333","1","79.02","Position GPS<!--260742-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:24:25","5.323737","-4.022653","0.296","1","256.75","Position GPS<!--260743-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:24:40","5.323737","-4.02269","0.4255","1","252.99","Position GPS<!--260744-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:24:54","5.323738","-4.022648","0.1295","1","236.08","Position GPS<!--260745-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:25:12","5.323738","-4.022655","0.2035","1","251.82","Position GPS<!--260746-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:25:36","5.323743","-4.022657","0.148","1","249.33","Position GPS<!--260747-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:25:53","5.323757","-4.022642","0.2405","1","264.7","Position GPS<!--260748-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:26:06","5.323757","-4.022658","0.1295","1","218.39","Position GPS<!--260749-->","0.00","7,863.50","",
"MITSUBISHI 5694FL01","2012-02-28 00:26:23","5.323757","-4.022653","0.111","1","255.27","Position GPS<!--260750-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:26:40","5.323745","-4.022665","0.2035","1","242.85","Position GPS<!--260751-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:26:55","5.323735","-4.022692","0.0555","1","352.52","Position GPS<!--260752-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:27:17","5.323742","-4.022665","0.0185","1","36.15","Position GPS<!--260753-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:27:32","5.323732","-4.022647","0.037","1","125.77","Position GPS<!--260754-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
"MITSUBISHI 5694FL01","2012-02-28 00:28:01","5.323722","-4.022673","0.074","1","269.39","Position GPS<!--260755-->","0.00","7,863.50","Avenue Terrasson de Fougères, Abidjan, Côte d'Iv",
